James Butt,delivery,6649 N Blue Gum St,70116,504-621-8927,jbutt@gmail.com,1978-01-06,FALSE,sales
Josephine Darakjy,engineeringIntegration,4 B Blue Ridge Blvd,48116,810-292-9388,josephine_darakjy@darakjy.org,1967-05-12,TRUE,engineering
Art Venere,frontendIOS,8 W Cerritos Ave #54,8014,856-636-8749,art@venere.org,1968-06-14,TRUE,delivery
Lenna Paprocki,backendAPI,639 Main St,99501,907-385-4412,lpaprocki@hotmail.com,1956-09-19,FALSE,engineeringFrontend
Donette Foller,backendAPI,34 Center St,45011,513-570-1893,donette.foller@cox.net,1954-11-22,FALSE,frontendWeb
Simona Morasca,sales,3 Mcauley Dr,44805,419-503-2484,simona@morasca.com,1963-02-27,FALSE,frontendIOS
Mitsue Tollner,engineering,7 Eads St,60632,773-573-6914,mitsue_tollner@yahoo.com,1975-07-28,FALSE,engineeringBackend
Leota Dilliard,backendDB,7 W Jackson Blvd,95111,408-752-3500,leota@hotmail.com,1988-06-18,FALSE,engineeringIntegration
Sage Wieser,engineeringBackend,5 Boston Ave #88,57105,605-414-2147,sage_wieser@cox.net,1983-07-22,FALSE,backendDB
Kris Marrier,frontendIOS,228 Runamuck Pl #2808,21224,410-655-8723,kris@gmail.com,1961-07-08,TRUE,backendAPI
Minna Amigon,delivery,2371 Jerrold Ave,19443,215-874-1229,minna_amigon@yahoo.com,1985-09-17,FALSE,
Abel Maclead,sales,37275 St  Rt 17m M,11953,631-335-3414,amaclead@gmail.com,1962-04-20,TRUE,
Kiley Caldarera,backendAPI,25 E 75th St #69,90034,310-498-5651,kiley.caldarera@aol.com,1984-08-09,FALSE,
Graciela Ruta,engineering,98 Connecticut Ave Nw,44023,440-780-8425,gruta@cox.net,1989-03-03,FALSE,
Cammy Albares,sales,56 E Morehead St,78045,956-537-6195,calbares@gmail.com,1979-12-13,FALSE,
Mattie Poquette,delivery,73 State Road 434 E,85013,602-277-4385,mattie@aol.com,1969-03-02,FALSE,
Meaghan Garufi,engineeringIntegration,69734 E Carrillo St,37110,931-313-9635,meaghan@hotmail.com,1966-11-01,TRUE,
Gladys Rim,engineeringBackend,322 New Horizon Blvd,53207,414-661-9598,gladys.rim@rim.org,1983-04-27,TRUE,
Yuki Whobrey,backendAPI,1 State Route 27,48180,313-288-7937,yuki_whobrey@aol.com,1978-02-20,TRUE,
Fletcher Flosi,engineeringFrontend,394 Manchester Blvd,61109,815-828-2147,fletcher.flosi@yahoo.com,1961-03-26,FALSE,
Bette Nicka,backendDB,6 S 33rd St,19014,610-545-3615,bette_nicka@cox.net,1967-05-29,TRUE,
Veronika Inouye,engineeringFrontend,6 Greenleaf Ave,95111,408-540-1785,vinouye@aol.com,1968-01-12,FALSE,
Willard Kolmetz,sales,618 W Yakima Ave,75062,972-303-9197,willard@hotmail.com,1974-03-25,FALSE,
